parcel_id,vns_bldg_style,vns_bldg_use,vns_gla,vns_bldg_area_effective,vns_pct_good,cns_assess_val,bld_year_built,bld_effective_year_built,bld_grade,bld_condition,bld_units
26-2-402,,,,889,98,300000,,,,,
26-2-403,,,,1092,98,394600,,,,,
26-2-404,,,,1092,98,394600,,,,,
26-2-405,,,,654,98,242400,,,,,
26-2-406,,,,807,98,301900,,,,,
26-2-407,,,,860,98,309100,,,,,
26-2-408,,,,782,98,298200,,,,,
26-2-409,,,,814,98,302900,,,,,
26-2-410,,,,1198,98,428300,,,,,
26-2-411,,,,814,98,302900,,,,,
26-2-412,,,,1198,98,428300,,,,,
26-2-413,,,,814,98,302900,,,,,
26-2-414,,,,782,98,304800,,,,,
26-2-415,,,,775,98,283700,,,,,
26-3,,,,18462,73,1277200,,,,,
26-4,,,,23839,64,2245700,,,,,
26-5,,,,0,,0,,,,,
26-6,,,,57104,73,2535000,,,,,
26-7,,,,0,,0,,,,,
26-8,,,,0,,0,,,,,
26-9,,,,870,86,141000,,,,,
26-10,,,,1447,30,62500,,,,,
26-11,,,,1093,57,103600,,,,,
26-12,,,,957,74,122300,,,,,
26-13,,,,2202,90,309400,,,,,
26-14,,,,3882,60,152100,,,,,
26-15,,,,1204,79,168300,,,,,
26-16,,,,1456,79,179100,,,,,
26-17,,,,0,,0,,,,,
26-18,,,,18167,70,1550800,,,,,
26-19,,,,2832,70,132100,,,,,
26-20,,,,25563,70,1319900,,,,,
26-22-100,,,,23286,68,702400,,,,,
26-22-200,,,,3939,76,502900,,,,,
26-22-200,,,,11760,96,682500,,,,,
26-23,,,,17596,68,806900,,,,,
26-24,,,,5793,70,465200,,,,,
26-25,,,,1395,87,198600,,,,,
26-26,,,,1240,91,198300,,,,,
26-27,,,,0,,0,,,,,
28-1,,,,2301,71,232400,,,,,
28-2,,,,0,,0,,,,,
28-3,,,,1323,78,156100,,,,,
28-4,,,,2617,67,286100,,,,,
28-5-100,,,,0,,0,,,,,
28-5-101,,,,2514,92,593200,,,,,
28-5-200,,,,1562,79,150400,,,,,
